LCMXO2-4000,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
1,PL3A,5,L_GPLLT_FB,True_OF_PL3B,-,-
2,PL3B,5,L_GPLLC_FB,Comp_OF_PL3A,-,-
3,PL4A,5,L_GPLLT_IN,True_OF_PL4B,-,-
4,PL4B,5,L_GPLLC_IN,Comp_OF_PL4A,-,-
5,PL6A,5,PCLKT5_0,True_OF_PL6B,-,-
6,PL6B,5,PCLKC5_0,Comp_OF_PL6A,-,-
7,VCCIO5,5,-,-,-,-
8,GND,-,-,-,-,-
9,PL7A,5,-,True_OF_PL7B,-,-
10,PL7B,5,-,Comp_OF_PL7A,-,-
11,PL8A,5,-,True_OF_PL8B,-,-
12,PL8B,5,-,Comp_OF_PL8A,-,-
13,PL9A,4,-,True_OF_PL9B,-,-
14,PL9B,4,-,Comp_OF_PL9A,-,-
15,PL10A,4,-,True_OF_PL10B,-,-
16,VCCIO4,4,-,-,-,-
17,PL10B,4,-,Comp_OF_PL10A,-,-
18,GND,-,-,-,-,-
19,PL10C,4,PCLKT4_0,True_OF_PL10D,-,-
20,PL10D,4,PCLKC4_0,Comp_OF_PL10C,-,-
21,PL13A,4,-,True_OF_PL13B,-,-
22,PL13B,4,-,Comp_OF_PL13A,-,-
23,PL14A,4,-,True_OF_PL14B,-,-
24,PL14B,4,-,Comp_OF_PL14A,-,-
25,PL16A,3,-,True_OF_PL16B,-,-
26,PL16B,3,-,Comp_OF_PL16A,-,-
27,PL17A,3,PCLKT3_0,True_OF_PL17B,-,-
28,PL17B,3,PCLKC3_0,Comp_OF_PL17A,-,-
29,GND,-,-,-,-,-
30,VCCIO3,3,-,-,-,-
31,PL18D,3,-,Comp_OF_PL18C,-,-
32,PL19A,3,-,True_OF_PL19B,-,-
33,PL19B,3,-,Comp_OF_PL19A,-,-
34,PL20A,3,-,True_OF_PL20B,-,-
35,PL20B,3,-,Comp_OF_PL20A,-,-
36,VCC,-,-,-,-,-
37,VCCIO2,2,-,-,-,-
38,PB3A,2,-,True_OF_PB3B,-,-
39,PB3B,2,-,Comp_OF_PB3A,-,-
40,PB4A,2,CSSPIN,True_OF_PB4B,-,-
41,PB4B,2,-,Comp_OF_PB4A,-,-
42,PB7A,2,-,True_OF_PB7B,-,-
43,PB7B,2,-,Comp_OF_PB7A,-,-
44,PB9A,2,MCLK/CCLK,True_OF_PB9B,-,-
45,PB9B,2,SO/SPISO,Comp_OF_PB9A,-,-
46,GND,-,-,-,-,-
